Police;MontantAvoir
1000110001;0
1000110002;18
1000110004;1128
1000110005;0
1000110006;0
1000110007;401
1000110008;0
1000110009;0
1000110010;0
1000110011;0
1000110012;13
1000110013;14
1000110014;0
1000110015;0
1000110016;0
1000110017;0
1000110018;0
1000110019;0
1000110020;0
1000110021;0
1000110022;0
1000110023;70
1000110024;0
1000110025;0
1000110026;10
1000110027;0
1000110028;142
1000110029;0
1000110030;8
1000110031;290
1000110032;0
1000110033;0
1000110034;0
1000110035;58
1000110036;0
1000110037;0
1000110038;9506
1000110039;0
1000110040;0
1000110041;0
1000110042;0
1000110043;0
1000110044;0
1000110045;10
1000110046;0
1000110047;0
1000110048;0
1000110049;0
1000110050;0
1000110051;256
1000110052;0
1000110053;212
1000110054;0
1000110056;0
1000110057;0
1000110058;0
1000110059;0
1000110060;102
1000110062;0
1000110063;0
1000110064;141
1000110065;0
1000110066;120
1000110067;73
1000110068;0
1000110069;0
1000110070;0
1000110071;0
1000110072;198
1000110073;0
1000110074;111
1000110075;0
1000110076;0
1000110077;11
1000110078;0
1000110079;0
1000110080;0
1000110081;0
1000110082;0
1000110083;0
1000110084;0
1000110085;0
1000110086;0
1000110087;0
1000110088;0
1000110089;0
1000110090;83
1000110091;30
1000110092;0
1000110093;0
1000110094;0
1000110095;0
1000110096;20
1000110097;0
1000110098;0
1000110099;24
1000110100;46
1000110101;0
1000110102;37
1000110103;0
1000110104;0
1000110105;2999
1000110106;0
1000110107;0
1000110108;0
1000110109;8
1000110110;0
1000110111;0
1000110112;0
1000110113;0
1000110114;92
1000110115;0
1000110116;0
1000110117;0
1000110118;0
1000110119;226
1000110121;41
1000110122;0
1000110123;0
1000110124;151
1000110125;108
1000110126;195
1000110127;0
1000110128;0
1000110129;0
1000110130;0
1000110132;40
1000110133;56
1000110134;0
1000110135;0
1000110136;0
1000110137;215
1000110138;0
1000110139;0
1000110141;0
1000110142;0
1000110143;6
1000110144;124
1000110145;14
1000110146;0
1000110147;0
1000110148;0
1000110149;0
1000110150;44
1000110151;0
1000110152;249
1000110153;0
1000110154;17
1000110155;31
